tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable,m_bits
ASAP7,1e-20,0.0002231445312499,86,11,0.7441860465116279,0.5762072120633833,0.14233403116306104,8
ASAP7,1e-20,0.00014892578125,86,10,0.7674418604651163,0.534532422218347,0.0973934797799398,8
ASAP7,1e-20,9.27734375e-05,86,9,0.7906976744186046,0.5015593557080426,0.06183654487335862,8
ASAP7,1e-20,5.2795410156250006e-05,86,8,0.813953488372093,0.47729651319585975,0.035672393244188506,8
ASAP7,1e-20,2.6489257812500003e-05,86,7,0.8372093023255814,0.4609637840649043,0.01805978246761068,8
ASAP7,1e-20,1.11846923828125e-05,86,6,0.8604651162790697,0.45132491232109917,0.007665579821634257,8
ASAP7,1e-20,3.63922119140625e-06,86,5,0.8837209302325582,0.4465353164681363,0.0025006568709765985,8
ASAP7,1e-20,7.867813110351563e-07,86,4,0.9069767441860463,0.44471821258344296,0.000541159275375468,8
ASAP7,1e-20,8.380413055419921e-08,86,3,0.9302325581395348,0.4442698443683771,5.765558207184946e-05,8
ASAP7,1e-20,2.216547727584839e-09,86,2,0.9534883720930232,0.4442177926952203,1.5249836747066426e-06,8
ASAP7,1e-20,1.917214831337333e-12,86,1,0.9767441860465116,0.44421637975300016,1.3190639674432977e-09,8
ASAP7,1e-20,1e-20,86,0,1.0,0.0,0.0,8
ASAP7,1e-15,0.0047421875,86,23,0.4651162790697674,1.336316926555014,0.9620082228732155,8
ASAP7,1e-15,0.00425,86,22,0.4883720930232558,1.3220425874627098,0.946615303752972,8
ASAP7,1e-15,0.00378125,86,21,0.5116279069767442,1.3031131833909257,0.9262025347983326,8
ASAP7,1e-15,0.00334375,86,20,0.5348837209302325,1.278978707125434,0.9001768085799858,8
ASAP7,1e-15,0.0029296875,86,19,0.5581395348837209,1.248357911964483,0.8671564760614607,8
ASAP7,1e-15,0.0025390624999999,86,18,0.5813953488372093,1.210256178278149,0.8260689762352168,8
ASAP7,1e-15,0.00217578125,86,17,0.6046511627906976,1.1643358296253927,0.7765501713214151,8
ASAP7,1e-15,0.00183984375,86,16,0.627906976744186,1.1103357914125405,0.7183185281381147,8
ASAP7,1e-15,0.00153515625,86,15,0.6511627906976745,1.0493029099544833,0.6525029270175142,8
ASAP7,1e-15,0.0012558593749999,86,14,0.6744186046511628,0.9809272533309259,0.5787691488443862,8
ASAP7,1e-15,0.001005859375,86,13,0.6976744186046512,0.9075260672688223,0.4996160256715553,8
ASAP7,1e-15,0.00078515625,86,12,0.7209302325581395,0.8313630186261025,0.417484612081932,8
ASAP7,1e-15,0.00059375,86,11,0.7441860465116279,0.755275046750074,0.33543415849963487,8
ASAP7,1e-15,0.0004306640625,86,10,0.7674418604651163,0.6820591128499831,0.2564808044039061,8
ASAP7,1e-15,0.000296875,86,9,0.7906976744186046,0.6155558911243242,0.18476619074374764,8
ASAP7,1e-15,0.00019140625,86,8,0.813953488372093,0.5586455223810097,0.12339615479992108,8
ASAP7,1e-15,0.0001125488281249,86,7,0.8372093023255814,0.5133169991862476,0.07451555256221519,8
ASAP7,1e-15,5.810546875e-05,86,6,0.8604651162790697,0.4805577200394174,0.03918915803817693,8
ASAP7,1e-15,2.484130859375e-05,86,5,0.8837209302325582,0.45993076173802133,0.016945809412585795,8
ASAP7,1e-15,7.87353515625e-06,86,4,0.9069767441860463,0.4492261646172051,0.005402367952353696,8
ASAP7,1e-15,1.4896392822265626e-06,86,3,0.9302325581395348,0.4451662883350938,0.0010243475869535638,8
ASAP7,1e-15,1.0299682617187501e-07,86,2,0.9534883720930232,0.4442820886008864,7.085930936790837e-05,8
ASAP7,1e-15,6.062909960746763e-10,86,1,0.9767441860465116,0.44421676534577753,4.1712804799229194e-07,8
ASAP7,1e-15,1e-15,86,0,1.0,0.0,0.0,8
ASAP7,1e-12,0.006609375,86,23,0.4651162790697674,1.3618688142594555,0.9895624331424717,8
ASAP7,1e-12,0.0059921875,86,22,0.4883720930232558,1.3567085140339081,0.9839977563126455,8
ASAP7,1e-12,0.0053984375,86,21,0.5116279069767442,1.3491688621427058,0.9758672746836475,8
ASAP7,1e-12,0.0048359375,86,20,0.5348837209302325,1.3385278403749865,0.9643923905318789,8
ASAP7,1e-12,0.004296875,86,19,0.5581395348837209,1.3236202980887015,0.9483166485160462,8
ASAP7,1e-12,0.0037890625,86,18,0.5813953488372093,1.3034814232901488,0.9265996310806145,8
ASAP7,1e-12,0.0033125,86,17,0.6046511627906976,1.2769601297226791,0.8980000493971172,8
ASAP7,1e-12,0.00286328125,86,16,0.627906976744186,1.2425820037671091,0.8609279503725861,8
ASAP7,1e-12,0.00244140625,86,15,0.6511627906976745,1.1990181144214405,0.8139502639855051,8
ASAP7,1e-12,0.0020546875,86,14,0.6744186046511628,1.1462931774311096,0.7570936427812589,8
ASAP7,1e-12,0.0016953125,86,13,0.6976744186046512,1.082975407421398,0.6888141023884472,8
ASAP7,1e-12,0.00137109375,86,12,0.7209302325581395,1.0107379537442993,0.6109159051609895,8
ASAP7,1e-12,0.001080078125,86,11,0.7441860465116279,0.9306489140780076,0.5245508481149611,8
ASAP7,1e-12,0.00082421875,86,10,0.7674418604651163,0.845698525975698,0.4329434927875858,8
ASAP7,1e-12,0.000603515625,86,9,0.7906976744186046,0.7594042148493675,0.3398869005968562,8
ASAP7,1e-12,0.00041845703125,86,8,0.813953488372093,0.6762416197594032,0.25020743510485743,8
ASAP7,1e-12,0.00026953125,86,7,0.8372093023255814,0.6011950665737149,0.16928000890526831,8
ASAP7,1e-12,0.0001572265624999,86,6,0.8604651162790697,0.5392996693379336,0.10253430268343762,8
ASAP7,1e-12,7.897949218749999e-05,86,5,0.8837209302325582,0.4932629428572174,0.05289000022599544,8
ASAP7,1e-12,3.13720703125e-05,86,4,0.9069767441860463,0.4640177333445633,0.02135304837331287,8
ASAP7,1e-12,8.392333984375e-06,86,3,0.9302325581395348,0.44955531611950256,0.005757312753679221,8
ASAP7,1e-12,1.02996826171875e-06,86,2,0.9534883720930232,0.4448732700043807,0.0007083674609212119,8
ASAP7,1e-12,1.9162893295288083e-08,86,1,0.9767441860465116,0.44422860437386286,1.3183897885886736e-05,8
ASAP7,1e-12,1e-12,86,0,1.0,0.0,0.0,8
NanGate45,9.999999999999999e-31,0.00103125,86,23,0.4651162790697674,0.9156114562785778,0.5082899608980578,8
NanGate45,9.999999999999999e-31,0.00087109375,86,22,0.4883720930232558,0.862466429214101,0.4509543448538827,8
NanGate45,9.999999999999999e-31,0.000728515625,86,21,0.5116279069767442,0.809970254142949,0.39431874404751405,8
NanGate45,9.999999999999999e-31,0.000599609375,86,20,0.5348837209302325,0.7578691719065489,0.33810938991607237,8
NanGate45,9.999999999999999e-31,0.0004853515625,86,19,0.5581395348837209,0.7076666674195548,0.28394832009047716,8
NanGate45,9.999999999999999e-31,0.00038623046875,86,18,0.5813953488372093,0.660804167772315,0.23339062099692645,8
NanGate45,9.999999999999999e-31,0.00030078125,86,17,0.6046511627906976,0.6177623234214598,0.18695484331748802,8
NanGate45,9.999999999999999e-31,0.0002285156249999,86,16,0.627906976744186,0.5793357313359817,0.1454982395410684,8
NanGate45,9.999999999999999e-31,0.000168701171875,86,15,0.6511627906976745,0.5460544146978459,0.10959262621070567,8
NanGate45,9.999999999999999e-31,0.0001201171875,86,14,0.6744186046511628,0.5179967983342639,0.0793226121041104,8
NanGate45,9.999999999999999e-31,8.215332031249999e-05,86,13,0.6976744186046512,0.4954111243444109,0.05495601369387641,8
NanGate45,9.999999999999999e-31,5.334472656250001e-05,86,12,0.7209302325581395,0.4778746848403005,0.03603679175106453,8
NanGate45,9.999999999999999e-31,3.2470703125e-05,86,11,0.7441860465116279,0.46494957516674923,0.022092511984822136,8
NanGate45,9.999999999999999e-31,1.8249511718750003e-05,86,10,0.7674418604651163,0.45603711198476093,0.012477283707859015,8
NanGate45,9.999999999999999e-31,9.2315673828125e-06,86,9,0.7906976744186046,0.4503402569060958,0.006331220501354753,8
NanGate45,9.999999999999999e-31,4.0740966796875e-06,86,8,0.813953488372093,0.4470662571967971,0.002799059532966357,8
NanGate45,9.999999999999999e-31,1.48773193359375e-06,86,7,0.8372093023255814,0.44542004164185156,0.001023036672543408,8
NanGate45,9.999999999999999e-31,4.1580200195312505e-07,86,6,0.8604651162790697,0.4447369027265878,0.0002860309221675753,8
NanGate45,9.999999999999999e-31,7.832050323486327e-08,86,5,0.8837209302325582,0.44452172226020953,5.38830565638527e-05,8
NanGate45,9.999999999999999e-31,7.852911949157715e-09,86,4,0.9069767441860463,0.44447678535507984,5.402788869124566e-06,8
NanGate45,9.999999999999999e-31,2.6496127247810367e-10,86,3,0.9302325581395348,0.44447194641908716,1.8229334087591425e-07,8
NanGate45,9.999999999999999e-31,1.0295480024069549e-12,86,2,0.9534883720930232,0.44447177810587396,7.083027495377239e-10,8
NanGate45,9.999999999999999e-31,5.551115123125783e-17,86,1,0.9767441860465116,0.4444717774493402,0.0,8
NanGate45,9.999999999999999e-31,9.999999999999999e-31,86,0,1.0,0.0,0.0,8
NanGate45,9.999999999999999e-26,0.001693359375,86,23,0.4651162790697674,1.082552799657767,0.6883949546216548,8
NanGate45,9.999999999999999e-26,0.001458984375,86,22,0.4883720930232558,1.0319272692790438,0.6337775024881628,8
NanGate45,9.999999999999999e-26,0.001244140625,86,21,0.5116279069767442,0.9777747601481974,0.5753549624527988,8
NanGate45,9.999999999999999e-26,0.001048828125,86,20,0.5348837209302325,0.921095916907977,0.5142068819389507,8
NanGate45,9.999999999999999e-26,0.000873046875,86,19,0.5581395348837209,0.8631504227111666,0.45169227257150124,8
NanGate45,9.999999999999999e-26,0.00071484375,86,18,0.5813953488372093,0.8046607012100631,0.3885905225159522,8
NanGate45,9.999999999999999e-26,0.0005751953125,86,17,0.6046511627906976,0.7474708635887424,0.32689115471797214,8
NanGate45,9.999999999999999e-26,0.0004531249999999,86,16,0.627906976744186,0.6927794167854497,0.26788718072413764,8
NanGate45,9.999999999999999e-26,0.0003486328125,86,15,0.6511627906976745,0.6421767668748963,0.21329441322833156,8
NanGate45,9.999999999999999e-26,0.00026025390625,86,14,0.6744186046511628,0.5964475024066482,0.16395930711665274,8
NanGate45,9.999999999999999e-26,0.000187744140625,86,13,0.6976744186046512,0.5567988855049124,0.12118431948511912,8
